Time_UT                     jup_sw_pdyn
2016-05-06T00:00:00.000     0.070495
2016-05-06T01:00:00.000     0.071652
2016-05-06T02:00:00.000     0.072141
2016-05-06T03:00:00.000     0.072048
2016-05-06T04:00:00.000     0.071838
2016-05-06T05:00:00.000     0.071609
2016-05-06T06:00:00.000     0.071501
2016-05-06T07:00:00.000     0.072235
2016-05-06T08:00:00.000     0.074099
2016-05-06T09:00:00.000     0.076734
2016-05-06T10:00:00.000     0.094638
2016-05-06T11:00:00.000      0.16635
2016-05-06T12:00:00.000      0.19874
2016-05-06T13:00:00.000      0.20166
2016-05-06T14:00:00.000      0.19952
2016-05-06T15:00:00.000      0.19934
2016-05-06T16:00:00.000      0.20201
2016-05-06T17:00:00.000      0.20406
2016-05-06T18:00:00.000      0.20486
2016-05-06T19:00:00.000      0.20453
2016-05-06T20:00:00.000      0.20454
2016-05-06T21:00:00.000      0.20992
2016-05-06T22:00:00.000      0.21613
2016-05-06T23:00:00.000      0.21884
2016-05-07T00:00:00.000      0.21761
2016-05-07T01:00:00.000      0.21433
2016-05-07T02:00:00.000      0.20998
2016-05-07T03:00:00.000      0.20176
2016-05-07T04:00:00.000      0.18739
2016-05-07T05:00:00.000      0.16521
2016-05-07T06:00:00.000      0.14258
2016-05-07T07:00:00.000      0.12684
2016-05-07T08:00:00.000      0.11443
2016-05-07T09:00:00.000      0.10658
2016-05-07T10:00:00.000      0.10278
2016-05-07T11:00:00.000      0.10135
2016-05-07T12:00:00.000      0.10209
2016-05-07T13:00:00.000      0.10685
2016-05-07T14:00:00.000      0.11754
2016-05-07T15:00:00.000      0.13724
2016-05-07T16:00:00.000      0.15216
2016-05-07T17:00:00.000      0.16006
2016-05-07T18:00:00.000      0.16313
2016-05-07T19:00:00.000      0.16555
2016-05-07T20:00:00.000      0.17008
2016-05-07T21:00:00.000      0.17686
2016-05-07T22:00:00.000      0.17929
2016-05-07T23:00:00.000      0.17671
2016-05-08T00:00:00.000      0.16672
2016-05-08T01:00:00.000       0.1512
2016-05-08T02:00:00.000      0.13787
2016-05-08T03:00:00.000      0.12852
2016-05-08T04:00:00.000      0.12158
2016-05-08T05:00:00.000      0.11581
2016-05-08T06:00:00.000      0.11041
2016-05-08T07:00:00.000      0.10464
2016-05-08T08:00:00.000     0.098402
2016-05-08T09:00:00.000     0.091267
2016-05-08T10:00:00.000     0.084565
2016-05-08T11:00:00.000     0.079258
2016-05-08T12:00:00.000     0.075252
2016-05-08T13:00:00.000     0.072175
2016-05-08T14:00:00.000     0.069527
2016-05-08T15:00:00.000      0.06702
2016-05-08T16:00:00.000     0.064321
2016-05-08T17:00:00.000     0.061023
2016-05-08T18:00:00.000     0.058428
2016-05-08T19:00:00.000     0.057056
2016-05-08T20:00:00.000     0.056283
2016-05-08T21:00:00.000     0.056013
2016-05-08T22:00:00.000     0.057363
2016-05-08T23:00:00.000     0.060352
2016-05-09T00:00:00.000     0.064163
2016-05-09T01:00:00.000     0.065578
2016-05-09T02:00:00.000     0.064991
2016-05-09T03:00:00.000     0.063464
2016-05-09T04:00:00.000      0.06089
2016-05-09T05:00:00.000     0.058146
